data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8659755,170,COL9317,9317,"23 November 2021",2021,1,Riots,"Violent demonstration","Police Forces of Colombia (2018-) ESMAD: Mobile Anti-Disturbance Squadron",,1,15,"South America",Colombia,"Bogota, D.C.","Bogota, D.C.",,"Bogota - Kennedy",4.6165,-74.146,1,"El Espectador",National,"On 23 November 2021, in Bogota - Kennedy (Bogota, D.C.), rioters and ESMAD police forces clashed during demonstrations near the El Tintal area. The clashes lasted until dawn the following day. The reasons for the demonstration were not mentioned, but sources stated that the group potentially gathered to demand accountability for cases of excessive use of force by police officers. [size=no report]",0,1638213609,COL
8659536,170,COL9288,9288,"22 November 2021",2021,1,Riots,"Violent demonstration","Rioters (Colombia)","Labour Group (Colombia)",5,15,"South America",Colombia,Magdalena,"Santa Marta",,"Santa Marta",11.2294,-74.1909,1,"El Tiempo (Colombia); Diario La Libertad",National,"On 22 November 2021, in Santa Marta (Magdalena), workers of the public utility company blocked several streets to demonstrate against the privatization of the company and a potential layoff of employees. Demonstrators and ESMAD police forces clashed as the latter used tear gas to disperse the group. An undetermined number of people were injured. [size=no report]",0,1638213609,COL
8659536,170,COL9288,9288,"22 November 2021",2021,1,Riots,"Violent demonstration","Police Forces of Colombia (2018-) ESMAD: Mobile Anti-Disturbance Squadron",,1,15,"South America",Colombia,Magdalena,"Santa Marta",,"Santa Marta",11.2294,-74.1909,1,"El Tiempo (Colombia); Diario La Libertad",National,"On 22 November 2021, in Santa Marta (Magdalena), workers of the public utility company blocked several streets to demonstrate against the privatization of the company and a potential layoff of employees. Demonstrators and ESMAD police forces clashed as the latter used tear gas to disperse the group. An undetermined number of people were injured. [size=no report]",0,1638213609,COL
8659713,170,COL9329,9329,"21 November 2021",2021,1,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,Atlantico,Polonuevo,,Polonuevo,10.7777,-74.8543,1,"Diario La Libertad",Subnational,"On 21 November 2021, in Polonuevo (Atlantico), 150 families residing in the Villa Lucia area blocked a nearby road by standing in protest and placing tree branches on it, to demand title deeds to land assigned to them. The protesters claimed that they are unable to take ownership of their properties despite having been designated to them by the former local government. [size=150 families]",0,1638213609,COL
8659748,170,COL9307,9307,"21 November 2021",2021,1,Riots,"Violent demonstration","Rioters (Colombia)",,5,15,"South America",Colombia,"Bogota, D.C.","Bogota, D.C.",,"Bogota - Bosa",4.615,-74.1919,1,"El Espectador",National,"On 21 November 2021, in Bogota - Bosa (Bogota, D.C.), rioters and ESMAD police forces clashed during demonstrations near the Portal Americas area. The clashes lasted until dawn the following day. The reasons for the demonstration were not mentioned, but sources stated that the group potentially gathered to demand accountability for cases of excessive use of force by police officers. In total four officers were injured in Bosa and Kennedy. [size=no report]",0,1638213609,COL
8659748,170,COL9307,9307,"21 November 2021",2021,1,Riots,"Violent demonstration","Police Forces of Colombia (2018-) ESMAD: Mobile Anti-Disturbance Squadron",,1,15,"South America",Colombia,"Bogota, D.C.","Bogota, D.C.",,"Bogota - Bosa",4.615,-74.1919,1,"El Espectador",National,"On 21 November 2021, in Bogota - Bosa (Bogota, D.C.), rioters and ESMAD police forces clashed during demonstrations near the Portal Americas area. The clashes lasted until dawn the following day. The reasons for the demonstration were not mentioned, but sources stated that the group potentially gathered to demand accountability for cases of excessive use of force by police officers. In total four officers were injured in Bosa and Kennedy. [size=no report]",0,1638213609,COL
8659752,170,COL9314,9314,"21 November 2021",2021,1,Riots,"Violent demonstration","Rioters (Colombia)",,5,15,"South America",Colombia,"Bogota, D.C.","Bogota, D.C.",,"Bogota - Kennedy",4.6165,-74.146,1,"El Espectador",National,"On 21 November 2021, in Bogota - Kennedy (Bogota, D.C.), rioters and ESMAD police forces clashed during demonstrations near the El Tintal area. The clashes lasted until dawn the following day. The reasons for the demonstration were not mentioned, but sources stated that the group potentially gathered to demand accountability for cases of excessive use of force by police officers. In total four officers were injured in Bosa and Kennedy. [size=no report]",0,1638213609,COL
8659752,170,COL9314,9314,"21 November 2021",2021,1,Riots,"Violent demonstration","Police Forces of Colombia (2018-) ESMAD: Mobile Anti-Disturbance Squadron",,1,15,"South America",Colombia,"Bogota, D.C.","Bogota, D.C.",,"Bogota - Kennedy",4.6165,-74.146,1,"El Espectador",National,"On 21 November 2021, in Bogota - Kennedy (Bogota, D.C.), rioters and ESMAD police forces clashed during demonstrations near the El Tintal area. The clashes lasted until dawn the following day. The reasons for the demonstration were not mentioned, but sources stated that the group potentially gathered to demand accountability for cases of excessive use of force by police officers. In total four officers were injured in Bosa and Kennedy. [size=no report]",0,1638213609,COL
8659787,170,COL9278,9278,"20 November 2021",2021,1,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,Bolivar,"Cartagena de Indias",,Cartagena,10.3917,-75.4824,1,"El Universal (Colombia)",National,"On 20 November 2021, in Cartagena (Bolivar), relatives and other citizens protested against the disappearance of a teenager eight months ago. The group gathered near Pedro Romero Avenue to demand justice for the victim and more advances in the police investigation. In addition, the group demanded respect for children's rights, including an end to gender-based violence and racist behavior. [size=no report]",0,1638213609,COL
8654300,170,COL9243,9243,"19 November 2021",2021,2,Protests,"Peaceful protest","Protesters (Colombia)","Labour Group (Colombia)",6,60,"South America",Colombia,Bolivar,"Cartagena de Indias",,Cartagena,10.3917,-75.4824,1,"El Universal (Colombia)",National,"Around 19 November 2021 (as reported), in Cartagena (Bolivar), nearly 70 professional typists protested over delays in the payment of their salary wages. The group claimed they worked in the digitalization of the general attorney's files during the first semester of the year and until now the contractor has not paid their salaries. The group urged authorities to pay the debt. [size=nearly 70]",0,1637619474,COL
