event_date,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,admin1,admin2,admin3,location,source_scale,notes,fatalities
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Narino,Pasto,,San Juan De Pasto,National,"On 1 June 2021, in San Juan De Pasto municipality (Narino), peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Protesters blocked the road that connects San Juan de Pasto and Popayan (Cauca) in the areas of Panoya and Mojarras. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Valle del Cauca,El Cerrito,,El Cerrito,National,"On 1 June 2021, in El Cerrito (Valle del Cauca), protesters blocked the streets during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Narino,Pasto,,San Juan De Pasto,National,"On 1 June 2021, in San Juan De Pasto municipality (Cundinamarca), protesters blocked the route that connects the city with Mercaderes (Cauca) during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Valle del Cauca,Dagua,,Dagua,National,"On 1 June 2021, in Dagua (Valle del Cauca), protesters blocked the streets during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Bolivar,Cartagena de Indias,,Cartagena,National,"On 1 June 2021, in Cartagena (Bolivar), peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. The group marched through several areas of the city. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),Labour Group (Colombia),6,,,0,60,Norte de Santander,Cucuta,,Cucuta,Subnational,"On 1 June 2021, in Cucuta (Norte de Santander), clothing manufacturers protested against the blockade of the national roads. Protesters claimed the protests delayed the delivery of supplies to produce their products and demanded government support. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee; Farmers (Colombia),6,,,0,60,Bolivar,Santa Rosa,,Santa Rosa,National,"Around 1 June 2021, in Santa Rosa (Bolivar), 300 farmers peacefully protested during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. The group gathered from several rural areas to march in the direction of the city of Barrancabermeja (Santander). [size=300]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),Farmers (Colombia),6,,,0,60,Santander,Barrancabermeja,,Barrancabermeja,Subnational,"On 1 June 2021, in Barrancabermeja (Santander), around 1000 farmers occupied the Colegio Industrial campus to demand health, education, infrastructure, and mining reforms in nearby Bolivar department. [size=around 1000]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,"Bogota, D.C.","Bogota, D.C.",,Bogota - San Cristobal,National,"On 31 May 2021, in Bogota - San Cristobal (Bogota, D.C.), between 20 to 100 peaceful protesters rallied near the Portal 20 de Julio during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=between 20 to 100]",0
31-May-21,Riots,Violent demonstration,Rioters (Colombia),CNP: National Strike Committee,5,Police Forces of Colombia (2018-),,1,15,Cundinamarca,Facatativa,,Facatativa,National,"On 31 May 2021, in Facatativa (Cundinamarca), rioters and police forces clashed during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Demonstrators used rock against the officers, which responded using tear gas and stun grenades. 32 people were reported injured and hospitalized, including 10 police officers. Police arrested 26 people. [size=no report]",0
31-May-21,Protests,Peaceful protest,Protesters (Colombia),Bari Indigenous Group (Colombia),6,,,0,60,Norte de Santander,Cucuta,,Cucuta,National,"On 31 May 2021, in Cucuta (Norte de Santander), more than 1,500 Bari indigenous people gathered to demand the extension of indigenous reserve areas in the Catatumbo sub-region. Additionally, the group raised concerns over the environmental impact of chemicals used by the government to eliminate coca crops. [size=more than 1,500]",0
